Name;Country;lat;lon;Description
Gozo Museum of Archaeology; Malta;35.89753785;14.511195235436473;Museum
The Palace State Rooms; Malta;35.8986475;14.5140093;Monument or Site
Domvs Romana; Malta;35.8996771;14.512434;Monument or Site
Fort St Elmo; Malta;35.90194;14.5183;Monument or Site
National War Museum; Malta;35.9019705;14.5187411;Museum
Fort St Angelo; Malta;35.902455;14.518506;Monument or Site
Borġ in-Nadur; Malta;35.910153;14.468936;Monument or Site
Ta’ Bistra; Malta;35.91639;14.41583;Monument or Site
The Inquisitor’s Palace; Malta;35.91781;14.49891;Monument or Site
Skorba; Malta;35.9210207;14.378576454996669;Monument or Site
Gozo Nature Museum; Malta;36.0465993;14.2390435;Museum
Ġgantija Temples; Malta;36.047227;14.26906258371655;Monument or Site
Ta’ Kola Windmill; Malta;36.049813799999995;14.266793750000001;Monument or Site
Tomioka Silk Mill; Japan;36.25543855;138.88764225729295;Monument or Site
The Royal Castle; Poland;36.7665687;31.3863194;Monument or Site
Topkapi palace; Türkiye;36.85536;30.85369;Monument or Site
Ancient Corinth; Greece;37.931961099999995;22.89194475932289;Monument or Site
National Archaeological Museum of Athens; Greece;37.9890123;23.73295773748378;Museum
Powerhouse Museum Science + Design; Australia;-38.3537687;141.6029386;Museum
Karlovac City Museum; Croatia;38.633700649999994;-90.20041419716557;Museum
Gulbenkian Museum; Portugal;38.737822800000004;-9.153514862955836;Museum
La Alhambra; Spain;38.7961681;-5.5676261;Monument or Site
Mdina National Museum of Natural History; Malta;38.891245;-77.02597012430643;Museum
Cathédrale de Besançon and its horloge astronomique; France;38.963459;-95.23616;Monument or Site
Chuson-ji Temple; Japan;39.00094095;141.10206992650058;Monument or Site
Goris Museum of Regional Studies Khndzoresk History Museum; Armenia;39.1997664;46.4183092;Museum
Yeghegnadzor Museum of Regional Studies; Armenia;39.1997664;46.4183092;Museum
Syunik Region; Armenia;39.20162;46.47158;Museum
Near East Art Museum; Armenia;39.325288;-76.619107;Museum
Vayots Dzor  Region; Armenia;39.739472;45.448387;Museum
Cafesjian Museum Foundation; Armenia;39.910895;-75.22660436217873;Monument or Site
Cafesjian Museum Foundation; Armenia;39.910895;-75.22660436217873;Monument or Site
Palace Museum (Beijing); China;39.91672;116.39078;Museum
Shanhaiguan Great Wall Jinshanling Great Wall; China;40.0025;119.74889;Monument or Site
Palacio real de Aranjuez; Spain;40.03633615;-3.6082618378865536;Monument or Site
“Erebuni” Historical & Archaeological Museum-Reserve; Armenia;40.127061;44.18613;Monument or Site
“Erebuni” Historical & Archaeological Museum-Reserve Yerevan History Museum; Armenia;40.127061;44.18613;Monument or Site
Komitas Museum-Institute; Armenia;40.16239;44.50239;Museum
History Museum of Armenia; Armenia;40.17869;44.51399;Museum
History Museum of Armenia National Gallery of Armenia; Armenia;40.17869;44.51399;Museum
Yerevan Region; Armenia;40.185693;44.520721;Museum
Martiros Sarian House-Museum; Armenia;40.18686;44.50929;Museum
Martiros Sarian House-Museum Sergey Parajanov Museum; Armenia;40.18686;44.50929;Museum
Matenadaran Research Institute of Ancien manuscripts after M.Mashtots; Armenia;40.199945;44.491281;Museum
Gegharkunik Region; Armenia;40.25568;45.14728;Museum
Perch Proshyan House-Museum; Armenia;40.298985349999995;44.365068073358216;Monument or Site
Itsukushima Shrine; Japan;40.53851;141.55761;Monument or Site
San Lorenzo del Escorial; Spain;40.5894405;-4.149149713167988;Monument or Site
Metropolitan Museum of Art; United States of America;40.77955;-73.96292;Museum
Lori Region; Armenia;40.8104975;44.484771150000014;Museum
Shirak Region; Armenia;40.84042;43.91582;Museum
The Cloisters Museum; United States of America;40.86529;-73.931025;Museum
Chengde; China;40.9507147;117.9567031;Monument or Site
Hovhannes Tumanyan House-Museum; Armenia;40.9633778;44.6475725;Monument or Site
Hagia Sophia; Türkiye;41.0086;28.98;Monument or Site
Gegharkunik Museum of Local Lore; Armenia;41.0121306;-74.12308729363716;Museum
Casa Batlló; Spain;41.3915446;2.1646961326302048;Monument or Site
La Pedrera/Casa Milà; Spain;41.39539955;2.161762102712899;Monument or Site
Sant Pau Recinte Modernista; Spain;41.41266535;2.174335853538536;Monument or Site
Guimarães castle; Portugal;41.432173;-8.308575;Monument or Site
Historic New Harmony; United States of America;41.6535593;-72.1131273;Monument or Site
Georgian National Museum; Georgia;41.6960428;44.8002209;Museum
Centrale Montemartini; Italy;41.8665472;12.478014964961964;Monument or Site
Zagreb Museum of primitive art; Croatia;41.897452;-87.829224;Museum
San Carlo alle Quattro Fontane; Italy;41.901737999999995;12.490797686486488;Monument or Site
Vatican Museo; Italy;41.90268;12.45414;Museum
Galleria Nazionale d'Arte Moderna; Italy;41.903874;12.4858033;Monument or Site
Galleria Borghese; Italy;41.9172605;12.4931624;Monument or Site
Musée de la Maison Bonaparte; France;41.917936850000004;8.738636376803605;Museum
“Goshavank” Historical & Architectural Museum-Reserve; Armenia;41.96684495;44.20767059704605;Monument or Site
“Goshavank” Historical & Architectural Museum-Reserve; Armenia;41.96684495;44.20767059704605;Monument or Site
“Zvartnots” Historical & Cultural Museum-Reserve “Metsamor ” Historical- Archaeological Museum-Reserve; Armenia;41.96684495;44.20767059704605;Monument or Site
Palau Güell; Spain;42.1734468;2.9646635;Monument or Site
Archaeological site and Museum of Delos; Greece;42.30606915;-82.22024379524599;Museum
Archaeological site and Museum of Dion; Greece;42.30606915;-82.22024379524599;Museum
Archaeological site and Museum of Delphi; Greece;42.30606915;-82.22024379524599;Monument or Site
Archaeological site and Museum of Epidavros; Greece;42.30606915;-82.22024379524599;Monument or Site
Archaeological site and Museum of Mycenae and Tiryns; Greece;42.30606915;-82.22024379524599;Monument or Site
Museum of Fine Arts; United States of America;42.337918;-71.09502;Museum
Isabella Stewart Gardner Museum; United States of America;42.33824495;-71.09915382373549;Museum
Peabody Essex Museum; United States of America;42.52159245;-70.89219314752947;Museum
Forteresse de Salses; France;42.839091;2.91871;Monument or Site
Ta’ Ħaġrat; Malta;42.97119;-73.79262;Monument or Site
Museo Civico di Siena; Italy;42.9900779;11.8704524;Museum
Domaine national du Palais-Royal; France;43.0024;1.13815;Monument or Site
Monastère de Saorge; France;43.05068;-0.6022078499999991;Monument or Site
Zagreb Archaeological Museum Narona; Croatia;43.0804139;17.6258524;Museum
Fort de Brégançon; France;43.092811999999995;6.321843250680676;Monument or Site
Cloître de la cathédrale de Fréjus; France;43.1216875;5.934033526880076;Monument or Site
Port Arthur Historic Sites; Australia;-43.147805;147.850682;Monument or Site
Site archéologique de Montmaurin; France;43.224;0.636882;Monument or Site
Château d'If; France;43.27985595;5.3252840193832025;Monument or Site
Musée national du château de Pau; France;43.2946737;-0.3752527;Museum
Site archéologique d'Ensérune ; France;43.3097644;3.1108183221632655;Monument or Site
Abbaye du Thoronet; France;43.460545749999994;6.263664665483828;Monument or Site
Split Archaeological Museum; Croatia;43.51591;16.43515;Museum
Zadar Archaeological Museum; Croatia;43.51591;16.43515;Museum
Musée national Picasso La Guerre et La Paix; France;43.580067;7.053305;Museum
St. Mathias Church Buda Castle; Hungary;43.64781745;-79.4111569298137;Monument or Site
Villa Kérylos; France;43.703305799999995;7.333806951695893;Monument or Site
Abbaye de Montmajour; France;43.7059437;4.6642559;Monument or Site
Trophée d'Auguste; France;43.7447948;7.401755915144534;Monument or Site
Pitti Palace; Italy;43.76554204999999;11.249841376036732;Monument or Site
Uffizi Gallery; Italy;43.76773;11.25649;Museum
Site archéologique de Glanum; France;43.77353765;4.832371090787859;Monument or Site
Castellvechio Museo; Italy;43.7913576;12.1548384;Museum
Château de Rambouillet (Laiterie de la Reine et Chaumière aux Coquillages); France;43.91758;2.958069;Monument or Site
Château de Gramont; France;43.937206950000004;0.7663358111855518;Monument or Site
Hôtel de Sade; France;43.947650949999996;4.8053747063972745;Monument or Site
Tour Pey-Berland; France;43.9974551;5.0595701;Monument or Site
Arc de triomphe; France;44.142174600000004;4.804810889507216;Monument or Site
Musée de la musique (Cité de la musique); France;44.1449749;0.3714363;Museum
Abbaye de Beaulieu-en-Rouergue ; France;44.209798;1.854139;Monument or Site
The Vasa Museum; Sweden;44.5039166;-92.7229786;Monument or Site
Château de Cadillac; France;44.6379821;-0.32058217387635507;Monument or Site
Place-forte de Mont-Dauphin; France;44.672242;6.62622;Monument or Site
Château d'Assier; France;44.6749042;1.8787484;Monument or Site
Tours de la cathédrale Notre-Dame; France;44.760321;1.097084;Monument or Site
Abbaye de La Sauve-Majeure; France;44.7683662;-0.3119155;Monument or Site
Église Saint-Pierre-ès-Liens de Montcaret; France;44.85836345;0.06412490938967107;Monument or Site
Villa gallo-romaine de Montcaret; France;44.85838645;0.06364682959782977;Monument or Site
Château de Castelnau-Bretenoux; France;44.89913275;1.825896467886777;Monument or Site
Musée Eugène-Delacroix; France;44.931416;2.446506;Museum
Musée national de Préhistoire  Les-Eyzies-de-Tayac ; France;44.9362525;1.0135749;Museum
Sites préhistoriques de la vallée de la Vézère; France;44.9517985;0.9379753;Monument or Site
Petit Palais; France;44.9809417;-0.0630624;Monument or Site
Cloître de la cathédrale Notre-Dame du Puy-en-Velay Château de Voltaire; France;45.045263;3.881195;Monument or Site
Fort Saint-André; France;45.2031276;6.649859103272353;Monument or Site
Monticello; United States of America;45.3053901;-93.7939996;Monument or Site
Musée Jacquemart-André; France;45.3933564;5.2612214;Museum
Château de Puyguilhem; France;45.42599285;0.7442849010015118;Monument or Site
National Gallery of Armenia; Armenia;45.429526300000006;-75.69881245158095;Monument or Site
Musée des Beaux-Arts du Canada à Ottawa; Canada;45.429526300000006;-75.69881245158095;Museum
Punta della Dogana; Italy;45.430739900000006;12.336286970718438;Monument or Site
Peggy Guggenheim Collection; Italy;45.4307957;12.3316929;Museum
Palazzo Grassi; Italy;45.433782449999995;12.327952565722182;Monument or Site
Museo di Palazzo Vecchio; Italy;45.4399535;10.987865;Museum
Grotte de Pair-non-Pair; France;45.4425621;0.785301;Monument or Site
Château de Villeneuve-Lembron; France;45.47805255;3.1860138985880067;Monument or Site
Musée des Beaux-Arts de Montréal; Canada;45.4986971;-73.5793846;Museum
Teatro Olimpico di Vicenza; Italy;45.55015425;11.54925067718815;Monument or Site
Sainte-Chapelle; France;45.788583349999996;6.713597499999997;Monument or Site
